date,S&P500,NASDAQ,Google,Tesla,Amazon,Microsoft,Meta,Apple,NVIDIA,JP Morgan,Citigroup,Goldman Sachs,Gold,Oil,Bitcoin
2024-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-02,-0.002,-0.002,0.001,-0.061,0.004,-0.007,0.023,-0.026,0.03,0.001,-0.006,0.004,0.014,0.01,0.037
2025-01-03,0.01,0.016,0.014,0.016,0.022,0.004,0.033,-0.028,0.076,0.015,0.009,0.013,0.006,0.021,0.05
2025-01-06,0.016,0.029,0.039,0.018,0.037,0.015,0.076,-0.022,0.113,0.005,0.033,0.019,0.004,0.015,0.093
2025-01-07,0.005,0.009,0.033,-0.023,0.012,0.002,0.055,-0.033,0.044,0.014,0.047,0.013,0.01,0.025,0.038
2025-01-08,0.006,0.009,0.026,-0.022,0.012,0.007,0.043,-0.031,0.043,0.014,0.041,0.013,0.015,0.012,0.017
2025-01-10,-0.009,-0.008,0.014,-0.023,-0.002,-0.006,0.052,-0.054,0.012,0.001,0.014,-0.022,0.025,0.057,0.014
2025-01-13,-0.008,-0.012,0.01,-0.001,-0.004,-0.01,0.039,-0.064,-0.008,0.019,0.034,-0.017,0.015,0.088,0.012
2025-01-14,-0.007,-0.014,0.003,-0.019,-0.007,-0.014,0.015,-0.068,-0.019,0.032,0.044,-0.002,0.02,0.07,0.033
2025-01-15,0.012,0.01,0.034,0.06,0.018,0.011,0.054,-0.05,0.015,0.053,0.112,0.058,0.028,0.105,0.076
2025-01-16,0.009,0.001,0.021,0.025,0.006,0.007,0.044,-0.088,-0.005,0.061,0.115,0.071,0.035,0.086,0.068
2025-01-17,0.02,0.017,0.037,0.056,0.03,0.018,0.047,-0.082,0.025,0.081,0.136,0.093,0.029,0.075,0.118
2025-01-21,0.028,0.023,0.048,0.05,0.052,0.017,0.053,-0.111,0.049,0.097,0.16,0.108,0.045,0.048,0.136
2025-01-22,0.035,0.036,0.05,0.028,0.071,0.059,0.065,-0.106,0.095,0.096,0.161,0.105,0.051,0.041,0.11
2025-01-23,0.04,0.038,0.048,0.021,0.073,0.06,0.087,-0.107,0.096,0.109,0.165,0.117,0.049,0.03,0.113
2025-01-24,0.037,0.033,0.06,0.007,0.07,0.054,0.106,-0.11,0.062,0.105,0.158,0.112,0.056,0.031,0.122
2025-01-27,0.022,0.002,0.017,-0.017,0.073,0.031,0.127,-0.082,-0.118,0.109,0.152,0.106,0.045,0.01,0.093
2025-01-28,0.032,0.022,0.035,-0.014,0.086,0.061,0.152,-0.049,-0.039,0.114,0.136,0.114,0.054,0.018,0.085
2025-01-29,0.027,0.017,0.035,-0.036,0.081,0.049,0.155,-0.044,-0.079,0.112,0.145,0.113,0.05,0.002,0.11
2025-01-30,0.032,0.019,0.064,-0.009,0.07,-0.015,0.173,-0.051,-0.072,0.119,0.163,0.128,0.066,0.004,0.121
2025-01-31,0.027,0.016,0.08,0.002,0.083,-0.015,0.177,-0.058,-0.106,0.115,0.157,0.118,0.068,0.001,0.096
2025-02-03,0.019,0.004,0.064,-0.05,0.082,-0.025,0.191,-0.089,-0.131,0.113,0.131,0.104,0.074,0.01,0.086
2025-02-04,0.027,0.018,0.091,-0.029,0.103,-0.022,0.203,-0.07,-0.116,0.118,0.115,0.108,0.084,0.004,0.048
2025-02-05,0.031,0.02,0.015,-0.064,0.076,-0.019,0.204,-0.072,-0.07,0.128,0.129,0.127,0.091,-0.019,0.034
2025-02-06,0.034,0.025,0.015,-0.073,0.089,-0.013,0.216,-0.069,-0.042,0.155,0.17,0.149,0.088,-0.025,0.034
2025-02-07,0.025,0.011,-0.017,-0.105,0.044,-0.028,0.22,-0.091,-0.033,0.151,0.161,0.145,0.09,-0.02,0.033
2025-02-10,0.031,0.021,-0.012,-0.132,0.063,-0.022,0.225,-0.091,-0.005,0.131,0.147,0.136,0.108,-0.002,0.043
2025-02-11,0.032,0.017,-0.018,-0.187,0.061,-0.024,0.229,-0.071,-0.011,0.147,0.152,0.13,0.104,0.012,0.025
2025-02-12,0.029,0.018,-0.026,-0.167,0.043,-0.03,0.239,-0.054,-0.023,0.149,0.155,0.133,0.105,-0.015,0.048
2025-02-13,0.04,0.033,-0.013,-0.119,0.05,-0.026,0.244,-0.036,0.007,0.153,0.166,0.133,0.116,-0.016,0.034
2025-02-14,0.04,0.037,-0.019,-0.119,0.042,-0.031,0.258,-0.023,0.034,0.154,0.202,0.154,0.1,-0.023,0.044
2025-02-18,0.042,0.038,-0.024,-0.123,0.033,-0.028,0.223,-0.024,0.038,0.168,0.202,0.174,0.118,-0.008,0.023
2025-02-19,0.045,0.039,-0.017,-0.107,0.033,-0.016,0.202,-0.022,0.037,0.165,0.192,0.167,0.119,-0.003,0.034
2025-02-20,0.04,0.034,-0.02,-0.122,0.016,-0.013,0.187,-0.018,0.043,0.113,0.156,0.122,0.119,0.002,0.053
2025-02-21,0.022,0.011,-0.047,-0.164,-0.013,-0.032,0.167,-0.019,0.001,0.102,0.132,0.093,0.118,-0.028,0.029
2025-02-24,0.017,-0.001,-0.049,-0.182,-0.03,-0.042,0.141,-0.013,-0.03,0.09,0.116,0.093,0.124,-0.024,-0.021
2025-02-25,0.013,-0.015,-0.069,-0.25,-0.03,-0.056,0.123,-0.013,-0.057,0.074,0.11,0.074,0.109,-0.048,-0.05
2025-02-26,0.013,-0.012,-0.083,-0.28,-0.023,-0.052,0.151,-0.04,-0.022,0.08,0.123,0.079,0.111,-0.053,-0.097
2025-02-27,-0.003,-0.04,-0.106,-0.302,-0.049,-0.069,0.124,-0.052,-0.105,0.081,0.12,0.062,0.094,-0.029,-0.093
2025-02-28,0.012,-0.024,-0.096,-0.275,-0.032,-0.058,0.141,-0.034,-0.07,0.104,0.136,0.087,0.087,-0.037,-0.097
2025-03-03,-0.005,-0.05,-0.114,-0.295,-0.065,-0.078,0.119,-0.049,-0.151,0.087,0.096,0.057,0.102,-0.056,-0.079
2025-03-04,-0.018,-0.053,-0.094,-0.326,-0.071,-0.078,0.093,-0.058,-0.136,0.044,0.028,0.015,0.111,-0.058,-0.066
2025-03-05,-0.007,-0.039,-0.081,-0.309,-0.05,-0.049,0.121,-0.059,-0.127,0.049,0.037,0.036,0.114,-0.085,-0.03
2025-03-06,-0.024,-0.064,-0.085,-0.348,-0.085,-0.058,0.072,-0.06,-0.177,0.028,0.003,-0.009,0.108,-0.084,-0.037
2025-03-07,-0.019,-0.058,-0.077,-0.35,-0.092,-0.067,0.069,-0.045,-0.161,0.011,0.001,-0.023,0.108,-0.075,-0.071
2025-03-10,-0.045,-0.095,-0.119,-0.45,-0.113,-0.098,0.021,-0.092,-0.203,-0.031,-0.042,-0.072,0.099,-0.088,-0.159
2025-03-11,-0.053,-0.097,-0.128,-0.429,-0.104,-0.097,0.034,-0.118,-0.19,-0.044,-0.041,-0.072,0.112,-0.085,-0.113
2025-03-12,-0.048,-0.086,-0.113,-0.386,-0.093,-0.091,0.058,-0.134,-0.138,-0.049,-0.035,-0.064,0.116,-0.066,-0.104
2025-03-13,-0.061,-0.104,-0.135,-0.404,-0.116,-0.101,0.009,-0.163,-0.139,-0.061,-0.045,-0.083,0.136,-0.081,-0.132
2025-03-14,-0.041,-0.081,-0.12,-0.381,-0.098,-0.078,0.038,-0.147,-0.094,-0.03,-0.023,-0.055,0.137,-0.073,-0.101
2025-03-17,-0.035,-0.078,-0.125,-0.411,-0.108,-0.078,0.033,-0.145,-0.11,-0.024,-0.006,-0.037,0.143,-0.067,-0.1
2025-03-18,-0.045,-0.094,-0.146,-0.442,-0.121,-0.09,-0.005,-0.151,-0.14,-0.02,-0.002,-0.036,0.156,-0.076,-0.114
2025-03-19,-0.035,-0.081,-0.127,-0.416,-0.109,-0.08,-0.002,-0.14,-0.125,-0.003,0.015,-0.027,0.161,-0.073,-0.07
2025-03-20,-0.037,-0.084,-0.133,-0.415,-0.111,-0.082,0.001,-0.145,-0.117,-0.003,0.02,-0.017,0.16,-0.058,-0.099
2025-03-21,-0.036,-0.079,-0.127,-0.384,-0.106,-0.072,0.018,-0.128,-0.124,0.008,0.023,-0.013,0.15,-0.057,-0.1
